ID,fldOrderNumber,fldQuoteNumber,fldTotalMinutes,fldTotalHours,fldTotalHoursCost,fldRefuseRecycle,fldStandardHours,fldStandardCost,fldChallengeHours,fldChallengeCost,fldCarryUpHours,fldCarryUpCost,fldChallengeCarryUpHrs,fldChallengeCarryUpCost,fldNumberOfInstallers,fldTotalPeiceCount,fldTotalTruckCost,fldHardwareCost,fldWarehouseRec,fldOnSiteRec,fldNewUsedRec,fldOvertimeDeliveryHrs,fldOvertimeDeliveryCost,fldTotalCostAnchorage,fldAnchorageSell,fldBaseDriveHrs,fldBaseDriveCost,fldCombBaseLaborCost,fldTotalCostBaseDrive,fldBaseSell,fldEagleRiverDriveHrs,fldEagleRiverDriveCost,fldCombEagleRiverLaborCost,fldTotalCostEagleRiverDrive,fldEagleRiverSell,fldValleyDriveHrs,fldValleyDriveCost,fldCombValleyLaborCost,fldTotalCostValleyDrive,fldValleySell,fldOutOfTownLabor,fldOutOfTownCost,fldNumOutOfTownInstallers,fldTtlOutOfTownCost,fldOutOfTownSell,fldLaborStdTime,fldLaborOverTime,fldToolOverWeight,fldPerDiem,fldHotelCost,fldAirFare,fldParking,fldRentalCar,fldMiscTravel,fldDate,fldTime,fldSales,fldProjMnger,fldDesigner,fldAcctCoord,fldHdFilingTeardown,fldHdFilingInstall,fldPostShelves,fldRotaryFiles,fldModWall,fldTotalReconfigTime,fldDavisBacon,fldTruckCharge,fldNumDays,fldCustomCut,fldCorian,fldFrtCost,fldFrtSell,fldApproved,fldQuoted,fldSold,fldOptStandard,fldOptChallenge,fldOptCarryUp,fldWareHouseRecHrs,fldOnSiteRecHrs,fldNewUsedRecHrs,fldMiscServices,fldAvgCostPerStationAnch,fldAvgCostPerStationBase,fldAvgCostPerStationER,fldAvgCostPerStationValley,fldAvgCostPerStationOutOfTown,fldNumberOfStations
535,000111,000111,39117,652,"$24,776.00",26.1,678,"$25,764.00",789,"$29,982.00",743,28234,789,"$29,982.00",99,2140,$50.00,$975.24,"$3,716.40","$2,229.84","$3,716.40",0,$0.00,"$34,723.64","$51,064.18",247.5,"$11,880.00","$41,862.00","$46,603.64","$68,534.77",148.5,"$7,128.00","$37,110.00","$41,851.64","$61,546.53",247.5,"$13,612.50","$43,594.50","$48,336.14","$71,082.56",886.8,"$33,766.40",111,"$33,766.40","$49,656.47",880,6.799988,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3/4/20,1:40:32 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Tiffany Ghan,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,97.8,58.68,97.8,0,"$34,723.64","$46,603.64","$41,851.64","$48,336.14","$33,766.40",1
585,1,1,2831,47.2,"$1,888.00",1.9,49,"$1,960.00",55,"$2,200.00",54,2160,57,"$2,280.00",7,123,$50.00,$0.00,$283.20,$169.92,$283.20,0,$0.00,"$2,613.20","$3,842.94",17.5,$910.00,"$3,190.00","$3,523.20","$5,181.18",10.5,$546.00,"$2,826.00","$3,159.20","$4,645.88",17.5,$962.50,"$3,242.50","$3,575.70","$5,258.38",64.1,"$2,565.20",8,"$2,565.20","$3,772.35",64,0.09999847,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1/14/22,11:32:22 AM,Joe Schroeder,,,,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7.08,4.248,7.08,0,"$2,613.20","$3,523.20","$3,159.20","$3,575.70","$2,565.20",1
126,54572,111111,14037,234,"$8,716.50",9.4,243,"$9,051.75",269,"$10,020.25",267,9945.75,283,"$10,541.75",34,913,$50.00,$427.68,"$1,307.48",$784.49,"$1,307.48",0,$0.00,"$11,805.41","$16,864.87",85,"$4,016.25","$14,036.50","$15,821.66","$22,602.37",51,"$2,409.75","$12,430.00","$14,215.16","$20,307.37",85,"$4,675.00","$14,695.25","$16,480.41","$23,543.44",304.1,"$11,328.73",38,"$11,328.73","$16,183.89",304,0.1000061,$0.00,$0.00,$0.00,$0.00,$0.00,$17.00,$0.00,8/11/16,9:52:18 AM,Joe Schroeder,Paul Moyers,Melanie Browning,Pam Sebrey,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,35.1,21.06,35.1,0,"$11,805.41","$15,821.66","$14,215.16","$16,480.41","$11,328.73",1
105,53347,1111111,10078,168,"$6,258.00",6.7,175,"$6,518.75",210,"$7,822.50",193,7189.25,202,"$7,524.50",5,526,$50.00,$3.24,$938.70,$563.22,$938.70,0,$0.00,"$8,963.44","$12,804.92",12.5,$590.63,"$8,413.13","$9,554.07","$13,648.67",7.5,$354.38,"$8,176.88","$9,317.82","$13,311.17",12.5,$687.50,"$8,510.00","$9,650.94","$13,787.06",235.2,"$8,873.20",6,"$8,873.20","$12,676.00",224,11.2,$0.00,$0.00,$0.00,$0.00,$0.00,$12.00,$0.00,6/17/16,12:43:42 PM,Tom Hawkins,Tom Hawkins,Lonnie Hawkins,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,5,$149.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,25.2,15.12,25.2,0,"$8,963.44","$9,554.07","$9,317.82","$9,650.94","$8,873.20",1
455,123321,123321,4631,77.2,"$2,875.70",3.1,80,"$2,980.00",93,"$3,464.25",88,3278,93,"$3,464.25",3,111,$50.00,$0.00,$431.36,$258.81,$431.36,0,$0.00,"$3,945.61","$5,802.36",7.5,$354.38,"$3,818.63","$4,299.98","$6,323.50",4.5,$212.63,"$3,676.88","$4,158.23","$6,115.04",30,"$1,650.00","$5,114.25","$5,595.61","$8,228.83",104.6,"$3,982.35",3,"$3,982.35","$5,856.40",96,8.599998,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4/16/19,12:56:05 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,4,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,11.58,6.948,11.58,0,$493.20,$537.50,$519.78,$699.45,$497.79,8
506,82719,12345,13675,227.9,"$8,660.20",9.1,237,"$9,006.00",294,"$11,172.00",260,9880,276,"$10,488.00",37,981,$50.00,$25.92,"$1,299.03",$779.42,"$1,299.03",0,$0.00,"$12,546.95","$18,451.40",92.5,"$4,440.00","$15,612.00","$16,986.95","$24,980.81",55.5,"$2,664.00","$13,836.00","$15,210.95","$22,369.04",92.5,"$5,087.50","$16,259.50","$17,634.45","$25,933.01",328.2,"$12,473.60",41,"$12,473.60","$18,343.53",328,0.2000122,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/21/19,2:23:18 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,34.185,20.511,34.185,0,"$12,546.95","$16,986.95","$15,210.95","$17,634.45","$12,473.60",1
604,2629722,2629722-080422,1809,30.1,"$1,204.00",1.2,31,"$1,240.00",38,"$1,520.00",34,1360,36,"$1,440.00",2,74,$50.00,$64.80,$158.03,$108.36,$180.60,0,$0.00,"$2,041.16","$3,001.71",5,$200.00,"$1,720.00","$2,241.16","$3,295.82",3,$120.00,"$1,640.00","$2,161.16","$3,178.18",15,$825.00,"$2,345.00","$2,866.16","$4,214.94",41.1,"$1,484.00",2,"$5,179.00","$10,009.00",32,9.099998,$200.00,$600.00,"$1,320.00","$1,000.00",$150.00,$375.00,$50.00,8/4/22,11:14:50 AM,Joe Schroeder,Joe Schroeder,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,3,$298.00,$0.00,"$2,024.69","$2,392.82",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4.515,3.096,5.16,0,$510.29,$560.29,$540.29,$716.54,"$1,294.75",4
609,VA_Mat-Su_PUNCH,2632171,372,6.2,$217.00,0.2,6,$210.00,7,$245.00,7,245,7,$245.00,1,18,$50.00,$0.00,$32.55,$19.53,$32.55,0,$0.00,$327.55,$481.69,2.5,$100.00,$345.00,$427.55,$628.75,1.5,$60.00,$305.00,$387.55,$569.93,2.5,$137.50,$382.50,$465.05,$683.90,7.9,$316.00,1,$316.00,$464.71,0,7.9,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/10/22,10:26:42 AM,Joe Schroeder,Joe Schroeder,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.9300001,0.558,0.9300001,0,$327.55,$427.55,$387.55,$465.05,$316.00,1
207,58990,2nd floor,82266,1371.1,"$51,073.47",54.8,1426,"$53,118.50",1659,"$61,797.75",1563,58221.75,1659,"$61,797.75",7,6157,"$1,000.00",$0.00,"$7,661.02","$4,596.61","$7,661.02",0,$0.00,"$70,458.77","$100,655.40",17.5,$826.88,"$62,624.63","$71,285.65","$101,836.60",10.5,$496.13,"$62,293.88","$70,954.90","$101,364.10",17.5,$962.50,"$62,760.25","$71,421.27","$102,030.40",1864.7,"$69,547.07",8,"$69,547.07","$99,352.96",1856,8.699951,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2/3/17,12:09:43 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,20,30,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,205.665,123.399,205.665,0,"$70,458.77","$71,285.65","$70,954.90","$71,421.27","$69,547.07",1
209,58990,2nd floor 58990,82266,1371.1,"$51,073.47",54.8,1426,"$53,118.50",1618,"$60,270.50",1563,58221.75,1659,"$61,797.75",7,6157,"$1,000.00",$0.00,"$7,661.02","$4,596.61","$7,661.02",0,$0.00,"$68,931.52","$98,473.61",17.5,$826.88,"$61,097.38","$69,758.40","$99,654.86",10.5,$496.13,"$60,766.63","$69,427.65","$99,182.36",17.5,$962.50,"$61,233.00","$69,894.02","$99,848.61",1823.7,"$68,009.82",8,"$68,009.82","$97,156.89",1816,7.699951,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2/3/17,12:35:15 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,20,30,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,205.665,123.399,205.665,0,"$68,931.52","$69,758.40","$69,427.65","$69,894.02","$68,009.82",1
